project_district,project_type,budget_amount,estimated_cost,actual_cost
4,SCA IEH,IEH,1632,1132
4,SCA IEH,IEH,37943,1562
4,DOE - Skilled Trades,DOES,170000,798
4,SCA CIP RESOA,0,0,0
4,SCA CIP RESOA,6900,6900,0
4,SCA CIP RESOA,101200,101200,0
4,SCA CIP RESOA,6900,6900,0
4,SCA CIP RESOA,0,0,0
4,SCA CIP RESOA,7500,7500,0
4,SCA CIP RESOA,110000,110000,0
4,SCA CIP RESOA,7500,7500,0
4,DIIT - Project Conne,DIIT,94315,0
4,DIIT - Project Conne,DIIT,94315,0
4,DIIT - RESOA,126000,103326,103326
4,DOE- RESOA,200000,183521,183521
4,SCA CIP,29850,90141,89567
4,SCA CIP,109450,143603,76177
4,SCA CIP,1159175,1048402,21098
4,SCA CIP,268650,103602,103518
4,SCA CIP RESOA,0,0,0
4,SCA CIP RESOA,3000,3000,0
4,SCA CIP RESOA,44000,44000,0
4,SCA CIP RESOA,3000,3000,0
4,SCA CIP RESOA,0,0,0
4,SCA CIP RESOA,3000,3000,0
4,SCA CIP RESOA,44000,44000,0
4,SCA CIP RESOA,3000,3000,0
4,SCA IEH,IEH,67090,2404
4,Fast Track Projects,FTK,613060,512698
4,SCA CIP,242446,161804,160747
4,SCA CIP,966439,739087,488929
4,SCA CIP,17820985,16127798,42370
4,SCA CIP,1174829,121514,107613
4,SCA CIP RESOA,0,12948,2013
4,SCA CIP RESOA,51000,40858,8052
4,SCA CIP RESOA,748000,748000,3572
4,SCA CIP RESOA,51000,51000,13422
4,SCA IEH,IEH,38660,4424
4,SCA CIP RESOA,0,0,0
4,SCA CIP RESOA,3000,3000,0
4,SCA CIP RESOA,44000,44000,0
15,DOE - Skilled Trades,DOES,68906,28958
15,SCA CIP RESOA,0,0,0
15,SCA CIP RESOA,6900,6900,0
15,SCA CIP RESOA,101200,101200,0
15,SCA CIP RESOA,6900,6900,0
15,SCA IEH,IEH,4942,242
15,DOE - Skilled Trades,DOES,322047,322047
15,DIIT - RESOA,35000,34737,34737
15,SCA Capacity,1860650,1427722,1416079
15,SCA Capacity,5954080,4025375,2093863
15,SCA Capacity,83505972,75742675,1870759
15,SCA Capacity,11759308,4643029,924065
15,DIIT - RESOA,35000,34736,34736
15,SCA IEH,IEH,25338,632
15,DOE- RESOA,150000,136836,136836
15,DIIT - RESOA,35000,34737,34737
15,SCA CIP,100975,65087,57657
15,SCA CIP,403898,144800,144800
15,SCA CIP,7573099,7573099,15844
15,SCA CIP,471215,471215,9779
15,SCA IEH,IEH,121242,6124
15,SCA IEH,IEH,112782,3848
15,DIIT - RESOA,35000,34737,34737
15,SCA CIP,88440,99446,99446
15,SCA CIP,353760,397776,342827
15,SCA CIP,6633000,6212675,3635527
15,SCA CIP,412720,361938,361128
15,SCA CIP RESOA,0,0,0
15,SCA CIP RESOA,30000,30000,0
15,SCA CIP RESOA,440000,440000,0
15,SCA CIP RESOA,30000,30000,0
15,SCA Furniture & Equi,100000,100000,99895
15,DIIT - RESOA,60000,57951,57951
15,SCA CIP,67910,186152,140526
15,SCA CIP,270138,279256,134323
15,SCA CIP,4930293,4930293,14159
15,SCA CIP,336434,336434,22609
15,SCA CIP RESOA,0,0,0
15,SCA CIP RESOA,24000,24000,0
15,SCA CIP RESOA,352000,352000,0
15,SCA CIP RESOA,24000,24000,0
15,SCA IEH,IEH,10251,1751
15,SCA IEH,IEH,33424,1248
15,SCA IEH,IEH,7836,436
15,SCA IEH,IEH,46026,6930
15,SCA IEH,IEH,20762,1486
15,SCA CIP,60445,70689,37430
15,SCA CIP,239847,239847,8321
15,SCA CIP,4323727,4323727,1706
15,SCA CIP,307188,307188,6611
15,DIIT - RESOA,35000,34737,34737
15,SCA CIP,87193,92975,88660
15,SCA CIP,326362,240527,183399
15,SCA CIP,4107567,3675766,36525
15,SCA CIP,698295,15572,15572
15,SCA CIP RESOA,0,1959,1959
15,SCA CIP RESOA,12000,7944,7944
15,SCA CIP RESOA,176000,176000,0
15,SCA CIP RESOA,12000,12000,2410
15,DIIT - RESOA,125000,124060,124060
15,SCA CIP,195166,209264,209239
15,SCA CIP,770803,487703,339157
15,SCA CIP,13567567,12224391,4762181
15,SCA CIP,1038961,353830,352846
15,SCA IEH,IEH,27286,2820
15,DIIT - Project Conne,DIIT,277505,0
15,DIIT - RESOA,35000,34737,34737
15,DOE - Skilled Trades,DOES,51799,0
15,Trust For Public Lan,50000,50000,0
15,Trust For Public Lan,150000,150000,0
15,Trust For Public Lan,500000,500000,0
15,Trust For Public Lan,135000,135000,0
15,SCA CIP,204472,206545,173360
15,SCA CIP,810571,596715,23405
15,SCA CIP,14541757,13342562,59184
15,SCA CIP,1049286,161558,160844
15,SCA IEH,IEH,447,447
15,SCA IEH,IEH,1249,749
15,SCA IEH,IEH,43029,3712
15,DCAS/NYPA,149203,149203,149203
15,DIIT - Project Conne,DIIT,304442,0
15,DIIT - RESOA,35000,34737,34737
15,SCA CIP,27197,36262,13935
15,SCA CIP,108279,78717,11738
15,SCA CIP,1984269,1984269,15946
15,SCA CIP,133581,133581,30427
15,SCA CIP,60413,54680,27666
15,SCA CIP,239696,239696,93513
15,SCA CIP,4318405,4318405,0
15,SCA CIP,307409,307409,1978
15,SCA CIP RESOA,0,7407,7407
15,SCA CIP RESOA,23178,36991,36991
15,SCA CIP RESOA,339942,290726,216135
15,SCA CIP RESOA,23178,40974,33482
15,SCA CIP RESOA,0,8656,1891
15,SCA CIP RESOA,1710,4905,4905
15,SCA CIP RESOA,25080,31350,8198
15,SCA CIP RESOA,1710,4211,4211
15,SCA CIP RESOA,0,6948,6948
15,SCA CIP RESOA,11551,27792,23592
15,SCA CIP RESOA,169411,152230,3430
15,SCA CIP RESOA,11551,15968,8963
15,SCA CIP RESOA,0,342,342
15,SCA CIP RESOA,24000,23658,1366
15,SCA CIP RESOA,352000,352000,0
15,SCA CIP RESOA,24000,24000,0
15,SCA CIP RESOA,0,19584,19584
15,SCA CIP RESOA,61290,74957,57929
15,SCA CIP RESOA,898920,863707,277408
15,SCA CIP RESOA,61290,26263,25844
15,SCA IEH,IEH,11798,798
15,DIIT - RESOA,60000,59547,59547
15,SCA CIP,63340,58386,51765
15,SCA CIP,253358,198299,170301
15,SCA CIP,4750467,4750467,1427
15,SCA CIP,295585,295585,11575
15,SCA CIP RESOA,0,206,206
15,SCA CIP RESOA,36900,164895,823
15,SCA CIP RESOA,541200,2421482,0
15,SCA CIP RESOA,36900,165101,831
4,SCA CIP RESOA,3000,3000,0
4,SCA IEH,IEH,198278,5206
4,DIIT - Project Conne,DIIT,353609,0
4,SCA CIP,21568,19847,19847
4,SCA CIP,79081,60666,60102
4,SCA CIP,837542,808337,674298
4,SCA CIP,239878,297018,288527
4,SCA CIP,234116,138330,138330
4,SCA CIP,920994,577832,577832
4,SCA CIP,15880494,15196174,14529752
4,SCA CIP,1293612,837905,836747
4,SCA IEH,IEH,37485,2526
4,SCA IEH,IEH,35038,6432
4,SCA CIP,128775,144415,140588
4,SCA CIP,515100,623034,504791
4,SCA CIP,9658125,8841882,425136
4,SCA CIP,600950,189565,186888
4,SCA CIP RESOA,0,0,0
4,SCA CIP RESOA,7500,7500,0
4,SCA CIP RESOA,110000,110000,0
4,SCA CIP RESOA,7500,7500,0
4,DIIT - RESOA,100000,99249,99249
4,DOE- RESOA,150000,27591,27591
4,SCA CIP RESOA,0,0,0
4,SCA CIP RESOA,6000,6000,0
4,SCA CIP RESOA,88000,88000,0
4,SCA CIP RESOA,6000,6000,0
4,SCA IEH,IEH,27260,4846
4,DIIT - Project Conne,DIIT,280442,0
4,DOE - Skilled Trades,DOES,170000,1088
4,SCA CIP,30675,29955,29656
4,SCA CIP,122700,142535,129560
4,SCA CIP,2300625,2156269,1345539
4,SCA CIP,143150,189726,184850
4,SCA IEH,IEH,19703,2594
4,SCA IEH,IEH,920,920
4,SCA CIP RESOA,0,0,0
4,SCA CIP RESOA,6000,6000,0
4,SCA CIP RESOA,88000,88000,0
4,SCA CIP RESOA,6000,6000,0
4,SCA IEH,IEH,35459,702
4,SCA IEH,IEH,11438,424
4,Fast Track Projects,FTK,343033,204739
4,Fast Track Projects,FTK,135468,66375
4,DOE - Lead Paint,DOEL,741,741
4,DOE - Lead Paint,DOEL,15584,15584
4,DOE - Lead Paint,DOEL,20189,20189
4,DOE - Lead Paint,DOEL,800,0
4,DOE- RESOA,92309,92309,52801
4,SCA CIP RESOA,0,9782,6532
4,SCA CIP RESOA,6000,3069,3069
4,SCA CIP RESOA,88000,88000,7547
4,SCA CIP RESOA,6000,6000,4854
4,DIIT - RESOA,60000,60000,0
4,DOE - Lead Paint,DOEL,800,0
4,DOE- RESOA,75000,75000,0
4,DOE - Skilled Trades,DOES,170000,1593
4,SCA CIP,109453,72840,72160
4,SCA CIP,428686,313646,293074
4,SCA CIP,7218517,6575930,757415
4,SCA CIP,629462,222911,215443
4,SCA CIP RESOA,0,1781,1781
4,SCA CIP RESOA,17520,15739,7124
4,SCA CIP RESOA,256960,256960,3167
4,SCA CIP RESOA,17520,17520,6621
4,SCA CIP,16740,37146,37146
4,SCA CIP,66960,213431,134101
4,SCA CIP,1255500,1181315,504180
4,SCA CIP,88211,114274,102029
4,SCA CIP RESOA,0,0,0
4,SCA CIP RESOA,12000,12000,0
4,SCA CIP RESOA,176000,176000,0
4,SCA CIP RESOA,12000,12000,0
4,SCA IEH,IEH,1119,1119
4,SCA IEH,IEH,68213,5116
4,SCA IEH,IEH,20476,2316
4,SCA IEH,IEH,57883,986
4,DIIT - RESOA,100000,99296,99296
4,DIIT - RESOA,50000,49625,49625
4,DIIT - PBX Telephone,DIIX,257306,257306
4,SCA CIP RESOA,0,0,0
4,SCA CIP RESOA,32880,32880,0
4,SCA CIP RESOA,482240,482240,0
4,SCA CIP RESOA,32880,32880,0
4,SCA CIP,204535,204535,0
4,SCA CIP,808760,808760,2
4,SCA CIP,14322209,14322209,0
4,SCA CIP,1076465,1076465,0
4,DIIT - Project Conne,DIIT,18377,0
4,DOE - Skilled Trades,DOES,44940,44940
4,SCA CIP RESOA,0,7199,1221
4,SCA CIP RESOA,12000,4886,4886
4,SCA CIP RESOA,176000,176000,5477
4,SCA CIP RESOA,12000,12000,5857
4,SCA CIP RESOA,0,0,0
4,SCA CIP RESOA,3000,3000,0
4,SCA CIP RESOA,44000,44000,0
4,SCA CIP RESOA,3000,3000,0
4,SCA IEH,IEH,38937,2648
4,SCA Emergency Lighti,720,209,209
4,SCA Emergency Lighti,2600,19743,17929
4,SCA Emergency Lighti,77000,75914,64915
4,SCA Emergency Lighti,12240,121746,117438
4,DIIT - Project Conne,DIIT,24424,0
5,DIIT - RESOA,100000,99248,99248
5,DOE- RESOA,12602,126024,126024
5,SCA CIP,6126,6496,6496
5,SCA CIP,22462,22462,203
5,SCA CIP,237888,237888,8346
5,SCA CIP,55133,55133,3950
5,SCA CIP,133403,26645,11470
5,SCA CIP,529588,529588,45881
5,SCA CIP,9568541,9568541,14483
5,SCA CIP,674874,674874,6849
5,SCA CIP RESOA,0,0,0
5,SCA CIP RESOA,6000,6000,0
5,SCA CIP RESOA,88000,88000,0
5,SCA CIP RESOA,6000,6000,0
5,SCA IEH,IEH,15984,6012
5,SCA CIP RESOA,0,0,0
5,SCA CIP RESOA,6720,6720,0
5,SCA CIP RESOA,98560,98560,0
5,SCA CIP RESOA,6720,6720,0
5,DIIT - RESOA,80000,80000,79400
15,SCA IEH,IEH,15449,912
15,DIIT - Project Conne,DIIT,100275,0
15,DIIT - Project Conne,DIIT,100275,0
15,SCA IEH,IEH,303433,4962
15,DIIT - Project Conne,DIIT,280442,0
15,DIIT - RESOA,35000,34738,34738
15,SCA IEH,IEH,30332,436
15,DIIT - Project Conne,DIIT,509335,0
15,DOE- RESOA,75000,48438,48438
15,DOE- RESOA,280000,304068,304068
15,DOE - Skilled Trades,DOES,56688,48974
15,SCA IEH,IEH,20730,2122
15,DOE- RESOA,290982,76965,17736
15,DOE - Skilled Trades,DOES,36467,36467
15,SCA CIP,28267,3367,3367
15,SCA CIP,103647,13466,13466
15,SCA CIP,1097711,1097711,15413
15,SCA CIP,254405,254405,12141
15,SCA CIP RESOA,0,188,188
15,SCA CIP RESOA,18000,17812,751
15,SCA CIP RESOA,264000,264000,0
15,SCA CIP RESOA,18000,18000,0
15,SCA IEH,IEH,34644,268
15,DIIT - RESOA,35000,34632,34632
15,SCA Furniture & Equi,80000,80000,80000
15,DIIT - RESOA,60000,60000,58948
15,SCA Lease Site Impro,385000,704387,391115
15,SCA Lease Site Impro,1232000,1421678,1204927
15,SCA Lease Site Impro,17278800,16129340,547509
15,SCA Lease Site Impro,2433200,1134408,374275
15,SCA IEH,IEH,241278,11560
15,DOE - Skilled Trades,DOES,672361,672361
15,DIIT - Project Conne,DIIT,143860,0
15,DIIT - Project Conne,DIIT,14386,0
15,SCA CIP,92614,133512,132254
15,SCA CIP,364523,344062,288187
15,SCA CIP,6302356,6168872,2114686
15,SCA CIP,509322,165193,156868
15,SCA CIP RESOA,0,34019,34019
15,SCA CIP RESOA,11100,109966,2219
15,SCA CIP RESOA,162800,2111786,0
15,SCA CIP RESOA,11100,143985,0
15,SCA IEH,IEH,215170,1330
15,SCA IEH,IEH,0,0
15,DIIT - Project Conne,DIIT,236757,0
15,SCA CIP RESOA,0,0,0
15,SCA CIP RESOA,7500,7500,0
15,SCA CIP RESOA,110000,110000,0
15,SCA CIP RESOA,7500,7500,0
15,SCA Furniture & Equi,152000,152000,152000
15,SCA Capacity,1368460,1084655,1084655
15,SCA Capacity,5131725,4209600,3694026
15,SCA Capacity,76975875,73618608,68276193
15,SCA Capacity,10121335,8596661,7673583
15,SCA CIP,94814,134538,133116
15,SCA CIP,373202,216188,32762
15,SCA CIP,6454433,6454433,44916
15,SCA CIP,521128,521128,15971
15,DIIT - Project Conne,DIIT,280442,0
15,SCA CIP,134775,77105,77105
15,SCA CIP,539100,240696,174910
15,SCA CIP,10108125,9133816,37417
15,SCA CIP,628950,72678,72678
15,SCA CIP RESOA,0,0,0
15,SCA CIP RESOA,15000,15000,0
15,SCA CIP RESOA,220000,220000,0
15,SCA CIP RESOA,15000,15000,0
15,SCA IEH,IEH,8500,0
15,DIIT - RESOA,35000,34737,34737
15,DIIT - RESOA,35000,34737,34737
15,DIIT - RESOA,35000,34737,34737
15,DIIT - RESOA,35000,34737,34737
15,SCA CIP,10228,6907,6907
15,SCA CIP,37502,28731,28731
15,SCA CIP,397180,346757,5830
15,SCA CIP,92050,38274,1311
15,SCA Capacity,1433375,1227898,819370
15,SCA Capacity,4586800,4586800,106495
15,SCA Capacity,64329870,64329870,22845
15,SCA Capacity,9058930,9058930,99736
15,SCA Capacity,15000,0,0
15,SCA Capacity,48000,0,0
15,SCA Capacity,673200,856181,568707
15,SCA Capacity,94800,111880,51542
15,SCA CIP,83311,1190,1190
15,SCA CIP,266594,266594,4759
15,SCA CIP,3738985,3738985,114
15,SCA CIP,526524,526524,5718
15,SCA CIP,23523,13669,6356
15,SCA CIP,94093,151356,124928
15,SCA CIP,1764249,1764249,13115
15,SCA CIP,109775,109775,52305
15,SCA CIP RESOA,0,10675,855
15,SCA CIP RESOA,57000,46325,3423
15,SCA CIP RESOA,836000,836000,0
15,SCA CIP RESOA,57000,57000,1470
15,SCA CIP,23020,72094,72094
15,SCA CIP,90493,218313,207685
15,SCA CIP,1554261,1513420,1344613
15,SCA CIP,128066,87674,87450
15,SCA CIP,98655,93888,37156
15,SCA CIP,394620,368801,342675
15,SCA CIP,7399126,7609593,6551627
15,SCA CIP,460390,342708,316031
15,DIIT - RESOA,100000,99249,99249
15,DOE- RESOA,131195,131195,131195
15,DOE - Skilled Trades,DOES,60456,60456
15,SCA CIP,58741,33801,33801
15,SCA CIP,234965,150210,142112
15,SCA CIP,4405590,4220168,3316441
15,SCA CIP,274126,124906,124906
15,SCA CIP,119175,81662,74232
15,SCA CIP,476700,476700,177100
15,SCA CIP,8938128,8938128,5174
15,SCA CIP,556150,556150,10267
15,DOE - Skilled Trades,DOES,82657,0
15,PRE-K,211610,144313,143999
15,PRE-K,677152,773537,700491
15,PRE-K,9497057,8866654,8586754
5,SCA CIP,314287,52906,39241
5,SCA CIP,1257149,1257149,135956
5,SCA CIP,23571548,23571548,29213
5,SCA CIP,1466675,1466675,13027
5,SCA CIP,8571,1282,1282
5,SCA CIP,31429,31429,5129
5,SCA CIP,332857,332857,0
5,SCA CIP,131737,131737,1331
5,SCA CIP RESOA,0,68,68
5,SCA CIP RESOA,15000,14932,273
5,SCA CIP RESOA,220000,220000,0
5,SCA CIP RESOA,15000,15000,0
5,SCA CIP RESOA,0,0,0
5,SCA CIP RESOA,2100,2100,0
5,SCA CIP RESOA,30800,30800,0
5,SCA CIP RESOA,2100,2100,0
5,Fast Track Projects,FTK,157538,85134
5,DIIT - RESOA,75000,74435,74435
5,DOE - Skilled Trades,DOES,450000,912
5,DIIT - Project Conne,DIIT,274650,0
5,DIIT - Project Conne,DIIT,362221,0
5,SCA CIP,20741,27154,27154
5,SCA CIP,82964,123123,75328
5,SCA CIP,1555576,1555576,35752
5,SCA CIP,96791,96791,44207
5,SCA IEH,IEH,47973,4210
5,Fast Track Projects,FTK,356942,356942
5,SCA CIP,72225,50102,49977
5,SCA CIP,288900,224637,212656
5,SCA CIP,5416875,5227514,4244973
5,SCA CIP,337050,635025,625686
5,SCA IEH,IEH,75763,12588
5,DOE - Skilled Trades,DOES,5529,5529
5,SCA CIP,55802,65824,23147
5,SCA CIP,223209,223209,48960
5,SCA CIP,4185162,4185162,0
5,SCA CIP,260410,260410,3025
5,SCA CIP RESOA,0,0,0
5,SCA CIP RESOA,30000,30000,0
5,SCA CIP RESOA,440000,440000,0
5,SCA CIP RESOA,30000,30000,0
5,SCA IEH,IEH,306,306
5,SCA Furniture & Equi,75000,75000,0
5,DIIT - RESOA,50000,49619,49619
5,DOE- RESOA,100000,100000,888
5,DOE - Skilled Trades,DOES,331017,331017
5,SCA CIP,23463,18083,18083
5,SCA CIP,86031,93944,93944
5,SCA CIP,911147,819588,748624
5,SCA CIP,253268,265500,263467
5,DOE - Skilled Trades,DOES,166827,166827
5,SCA CIP RESOA,0,0,0
5,SCA CIP RESOA,5340,5340,0
5,SCA CIP RESOA,78320,78320,0
5,SCA CIP RESOA,5340,5340,0
5,SCA IEH,IEH,28098,3396
5,SCA CIP,26877,32673,16083
5,SCA CIP,98550,98550,1407
5,SCA CIP,1043732,1043732,0
5,SCA CIP,241895,241895,963
5,SCA CIP RESOA,0,10606,10606
5,SCA CIP RESOA,22996,54782,41563
5,SCA CIP RESOA,337275,269151,179383
5,SCA CIP RESOA,22996,44141,31285
5,SCA Furniture & Equi,200000,200000,100000
5,DOE- RESOA,74995,74995,54270
5,Trust For Public Lan,50000,50000,50000
5,Trust For Public Lan,150000,150000,150000
5,Trust For Public Lan,500000,500000,500000
5,Trust For Public Lan,134000,134000,134000
5,SCA CIP RESOA,0,11028,11028
5,SCA CIP RESOA,22200,31857,30239
5,SCA CIP RESOA,325600,369382,6044
5,SCA CIP RESOA,22200,25185,7716
5,SCA CIP RESOA,0,68,68
5,SCA CIP RESOA,9000,8932,273
5,SCA CIP RESOA,132000,132000,0
5,SCA CIP RESOA,9000,9000,889
5,SCA CIP RESOA,0,0,0
5,SCA CIP RESOA,4800,4800,0
5,SCA CIP RESOA,70400,70400,0
5,SCA CIP RESOA,4800,4800,0
5,SCA IEH,IEH,29588,7164
5,DIIT - PBX Telephone,DIIX,100000,0
5,SCA CIP RESOA,0,3160,3160
5,SCA CIP RESOA,33000,12639,12639
5,SCA CIP RESOA,484000,272866,5866
5,SCA CIP RESOA,33000,28150,7783
5,DOE - Skilled Trades,DOES,170000,519
5,SCA CIP,25096,64721,64721
5,SCA CIP,100385,273844,131226
5,SCA CIP,1882223,1882223,482294
5,SCA CIP,117116,117116,12196
5,SCA CIP RESOA,0,0,0
5,SCA CIP RESOA,6000,6000,0
5,SCA CIP RESOA,88000,88000,0
5,SCA CIP RESOA,6000,6000,0
5,Fast Track Projects,FTK,439041,370007
5,DIIT - Project Conne,DIIT,19270,0
5,DIIT - RESOA,35000,34723,34723
5,DOE- RESOA,122721,122721,122721
5,DOE - Skilled Trades,DOES,88466,88466
5,DIIT - Project Conne,DIIT,29437,0
5,DOE - Skilled Trades,DOES,170000,1966
5,SCA Furniture & Equi,100000,100000,99895
5,DOE- RESOA,100000,100000,0
5,SCA CIP RESOA,0,0,0
5,SCA CIP RESOA,3000,3000,0
5,SCA CIP RESOA,44000,44000,0
5,SCA CIP RESOA,3000,3000,0
5,DIIT - Project Conne,DIIT,84233,0
5,DIIT - RESOA,100000,99249,99249
5,SCA Lease Site Impro,338448,338448,43994
5,SCA Lease Site Impro,1083032,1083032,13105
5,SCA Lease Site Impro,15189531,15189531,13754
5,SCA Lease Site Impro,2138989,2138989,10230
5,SCA Lease Site Impro,31250,1294,1294
5,SCA Lease Site Impro,100000,100000,5176
5,SCA Lease Site Impro,1402500,1402500,0
5,SCA Lease Site Impro,197500,197500,116
5,SCA CIP,138896,200876,100022
5,SCA CIP,555585,321374,287468
5,SCA CIP,10417232,10417232,41960
5,SCA CIP,648183,648183,27925
5,Fast Track Projects,FTK,553656,376442
15,PRE-K,1337375,778314,604878
15,SCA Capacity,1414769,1414769,158533
15,SCA Capacity,4527261,4527261,34134
15,SCA Capacity,63494834,63494834,285999
15,SCA Capacity,8941340,8941340,72925
15,SCA Lease Site Impro,204342,52245,47266
15,SCA Lease Site Impro,653894,653894,29016
15,SCA Lease Site Impro,9170870,9170870,15516
15,SCA Lease Site Impro,1291442,1291442,15076
15,SCA Lease Site Impro,92112,5392,5392
15,SCA Lease Site Impro,294759,21564,21564
15,SCA Lease Site Impro,4133990,4133990,65171
15,SCA Lease Site Impro,582148,582148,5597
15,SCA Capacity,1251115,1251115,12418
15,SCA Capacity,4003569,4003569,49670
15,SCA Capacity,56150054,56150054,569
15,SCA Capacity,7907049,7907049,17737
15,SCA Furniture & Equi,114000,114000,0
15,SCA Furniture & Equi,114000,114000,0
15,DIIT - RESOA,105000,104153,104153
15,SCA CIP,125618,74362,4837
15,SCA CIP,502472,234258,123404
15,SCA CIP,9421350,9421350,33334
15,SCA CIP,586217,586217,26576
15,SCA IEH,IEH,159682,844
15,SCA CIP RESOA,0,0,0
15,SCA CIP RESOA,12300,12300,0
15,SCA CIP RESOA,180400,180400,0
15,SCA CIP RESOA,12300,12300,0
15,DOE- RESOA,100000,100000,43220
15,DOE- RESOA,190000,29644,29644
15,SCA CIP,36960,30388,19308
15,SCA CIP,135520,117984,112610
15,SCA CIP,1266476,1258740,26740
15,SCA CIP,332640,20707,20707
15,DIIT - RESOA,35000,34737,34737
15,DIIT - RESOA,100000,99249,99249
15,SCA CIP,163930,270562,198976
15,SCA CIP,633240,615685,511766
15,SCA CIP,9856122,8992671,77226
15,SCA CIP,1057178,180322,180056
15,SCA CIP RESOA,0,11237,10970
15,SCA CIP RESOA,43844,151067,113304
15,SCA CIP RESOA,643052,540691,9368
15,SCA CIP RESOA,43844,13583,13583
15,SCA IEH,IEH,14336,1348
15,DIIT - RESOA,35000,34734,34734
15,DIIT - RESOA,137837,136799,136799
15,DOE - Lead Paint,DOEL,470,470
15,DOE- RESOA,175000,182523,182523
15,SCA CIP RESOA,0,0,0
15,SCA CIP RESOA,8940,8940,0
15,SCA CIP RESOA,131120,131120,0
15,SCA CIP RESOA,8940,8940,0
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,18000,18000,0
16,SCA CIP RESOA,264000,264000,0
16,SCA CIP RESOA,18000,18000,0
16,DIIT - RESOA,180000,178629,178629
16,DOE - Lead Paint,DOEL,433,433
16,SCA CIP,15555,11338,11338
16,SCA CIP,62220,44876,44876
16,SCA CIP,1166625,1065811,463113
16,SCA CIP,72590,37076,37076
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,18000,18000,0
16,SCA CIP RESOA,264000,264000,0
16,SCA CIP RESOA,18000,18000,0
16,SCA IEH,IEH,146592,15999
16,DOE - Skilled Trades,DOES,76487,0
16,SCA CIP,102962,155783,155167
16,SCA CIP,406183,329842,329722
16,SCA CIP,7107242,6967778,6737014
16,SCA CIP,554172,356099,349990
16,SCA IEH,IEH,52469,9063
16,SCA IEH,IEH,2008,2008
16,SCA Furniture & Equi,100000,100000,100000
16,Fast Track Projects,FTK,279386,229519
16,DIIT - Project Conne,DIIT,137325,0
16,DOE - Lead Paint,DOEL,446,446
16,DOE - Skilled Trades,DOES,3189,3189
16,SCA CIP,101250,113942,113942
16,SCA CIP,405001,563342,463015
16,SCA CIP,7593750,7667004,4401596
16,SCA CIP,472500,270392,248813
16,SCA CIP RESOA,0,34278,34278
16,SCA CIP RESOA,70500,119893,115402
16,SCA CIP RESOA,1034000,917412,761738
16,SCA CIP RESOA,70500,110067,105576
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,8400,8400,0
16,SCA CIP RESOA,123200,123200,0
16,SCA CIP RESOA,8400,8400,0
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,12840,12840,0
16,SCA CIP RESOA,188320,188320,0
16,SCA CIP RESOA,12840,12840,0
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,18600,18600,0
16,SCA CIP RESOA,272800,272800,0
16,SCA CIP RESOA,18600,18600,0
16,DIIT - PBX Telephone,DIIX,100000,0
16,SCA CIP,124125,103717,103717
16,SCA CIP,496500,502951,368068
16,SCA CIP,9309375,8579699,172963
16,SCA CIP,579250,52029,52029
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,2100,2100,0
16,SCA CIP RESOA,30800,30800,0
16,SCA CIP RESOA,2100,2100,0
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,4800,4800,0
16,SCA CIP RESOA,70400,70400,0
16,SCA CIP RESOA,4800,4800,0
16,SCA CIP RESOA,0,0,0
16,SCA CIP RESOA,4200,4200,0
16,SCA CIP RESOA,61600,61600,0
16,SCA CIP RESOA,4200,4200,0
16,SCA CIP RESOA,0,38994,33054
16,SCA CIP RESOA,138000,103303,5423
16,SCA CIP RESOA,2024000,2024000,4783
16,SCA CIP RESOA,138000,138000,2596
5,DOE - Skilled Trades,DOES,183744,183744
5,DOE - Lead Paint,DOEL,800,0
5,SCA CIP RESOA,0,0,0
5,SCA CIP RESOA,4500,4500,0
5,SCA CIP RESOA,66000,66000,0
5,SCA CIP RESOA,4500,4500,0
5,DOE- RESOA,80000,28207,28207
5,SCA CIP RESOA,0,0,0
5,SCA CIP RESOA,2100,2100,0
5,SCA CIP RESOA,30800,30800,0
5,SCA CIP RESOA,2100,2100,0
5,DIIT - Project Conne,DIIT,29096,0
6,SCA CIP RESOA,0,0,0
6,SCA CIP RESOA,6000,6000,0
6,SCA CIP RESOA,88000,88000,0
6,SCA CIP RESOA,6000,6000,0
6,DIIT - Project Conne,DIIT,426232,0
6,DIIT - RESOA,100000,99241,99241
6,SCA CIP,36107,28510,20986
6,SCA CIP,118503,342991,336164
6,SCA CIP,1756551,1449995,1358714
6,SCA CIP,202133,219921,219921
6,SCA CIP,191551,129816,128005
6,SCA CIP,756200,418920,411920
6,SCA CIP,13281251,12315121,10205884
6,SCA CIP,1023900,728513,459636
6,DIIT - Project Conne,DIIT,416065,0
6,DIIT - Project Conne,DIIT,385290,0
6,DIIT - RESOA,35000,34733,34733
6,SCA CIP RESOA,0,0,0
6,SCA CIP RESOA,6000,6000,0
6,SCA CIP RESOA,88000,88000,0
6,SCA CIP RESOA,6000,6000,0
6,SCA CIP RESOA,0,316,316
6,SCA CIP RESOA,3000,31665,1262
